timeOpen,open,high,low,close,volume
2024-12-30,0.257547655334155,0.259400780123407,0.250328384282368,0.253187734057024,2096279967.09077
2024-12-31,0.253187734057024,0.257429579628766,0.251106727548447,0.254463970569797,1424870507.07422
2025-01-01,0.254463970569797,0.256089190002223,0.252691509745303,0.255707257778038,1009340536.90915
2025-01-02,0.255707257778038,0.26659361567212,0.255558429071949,0.265021697823603,2059179609.08889
2025-01-03,0.265021697823603,0.271240440384815,0.260824095169871,0.270095326506786,1936762044.93059
2025-01-04,0.270095326506786,0.274117224564437,0.266428456939353,0.269660360758317,1789445647.50213
2025-01-05,0.269660360758317,0.26966071909561,0.261234980414087,0.262644333922066,1159989882.37559
2025-01-06,0.262644333922066,0.269700549309925,0.259592229817594,0.268513416065801,1923244256.34973
2025-01-07,0.268513416065801,0.271653119132679,0.252603050315964,0.252839824490704,2658316290.67757
2025-01-08,0.252839824490704,0.255076131652869,0.244802038511872,0.250701771776292,3035991185.78371
2025-01-09,0.250701771776292,0.251564103637843,0.237099573248867,0.240402142736167,2902134217.00064
2025-01-10,0.240402142736167,0.244955038561223,0.237862747512246,0.244662235918531,2034395596.10858
2025-01-11,0.244662235918531,0.244695373390434,0.240566744096956,0.240959974529043,1015163719.5219
2025-01-12,0.240959974529043,0.241181738201807,0.23175578804303,0.233680618806324,1066734022.42171
2025-01-13,0.233680618806324,0.23701733508498,0.217048352222001,0.222969854686344,3596403871.414
2025-01-14,0.222969854686344,0.226946437496578,0.220507973819424,0.2210609893847,1954382416.78984
2025-01-15,0.2210609893847,0.23833576687113,0.220636906420776,0.238129065551858,2549753656.38697
2025-01-16,0.238129065551858,0.240966967763388,0.233160715091992,0.23716711088317,2792751676.19664
2025-01-17,0.23716711088317,0.249531449965556,0.237163308489664,0.248908351385263,2046232162.5322
2025-01-18,0.248908351385263,0.26569128607933,0.238637480595433,0.242082109811343,4416858703.27248
2025-01-19,0.242082109811343,0.246355917096774,0.226741995320687,0.228658775472711,4882937978.55009
2025-01-20,0.228658775472711,0.252564218416707,0.223966187866875,0.238276854241169,6410597661.81268
2025-01-21,0.238276854241169,0.24615221600605,0.235329362987336,0.245094930352037,2978742917.88129
2025-01-22,0.245094930352037,0.258621730018538,0.245057748281552,0.253938828029889,2885076795.15232
