timeOpen,open_t-2,close_t-2,volume_t-1,low_t-2,MA9-2,BB20_MA-2,BB20_upper-2,BB20_lower-2,BB50_MA-2,BB50_upper-2,BB50_lower-2,stoch_rsi-2,MACD-2,MACD_signal-2,MACD_hist-2,RSI-2,ATR-1,OBV-2
2025-01-02,0.253187734057024,0.254463970569797,1009340536.90915,0.251106727548447,0.2538258523134105,0.2538258523134105,0.2556307232985699,0.25202098132825107,0.2538258523134105,0.2556307232985699,0.25202098132825107,0.99999999999,0.00010180804090492712,2.0361608180985425e-05,8.14464327239417e-05,99.99984328948076,0.0062643093927593485,1424870507.07422
2025-01-03,0.254463970569797,0.255707257778038,2059179609.08889,0.252691509745303,0.2544529874682863,0.2544529874682863,0.25697258300453985,0.2519333919320328,0.2544529874682863,0.25697258300453985,0.2519333919320328,0.99999999999,0.0002795915762781598,7.22076018004203e-05,0.0002073839744777395,99.99988093001852,0.007457028694612261,2434211043.98337
2025-01-04,0.255707257778038,0.265021697823603,1936762044.93059,0.255558429071949,0.2570951650571155,0.2570951650571155,0.26786223892541655,0.24632809118881446,0.2570951650571155,0.26786223892541655,0.24632809118881446,0.99999999999,0.0011587266965013554,0.00028951142074060734,0.000869215275760748,99.99996619899531,0.00804889199867861,4493390653.07226
2025-01-05,0.265021697823603,0.270095326506786,1789445647.50213,0.260824095169871,0.2596951973470496,0.2596951973470496,0.27459992035481084,0.24479047433928833,0.2596951973470496,0.27459992035481084,0.24479047433928833,0.99999999999,0.00223903682300991,0.0006794165011944679,0.0015596203218154422,99.9999704274956,0.00798887126974617,6430152698.00285
2025-01-06,0.270095326506786,0.269660360758317,1159989882.37559,0.266428456939353,0.2613560579155942,0.2613560579155942,0.27697411164280294,0.24573800418838546,0.2613560579155942,0.27697411164280294,0.24573800418838546,0.9749191213210293,0.0030252194342369476,0.001148577087802964,0.0018766423464339837,97.49188330227784,0.008051280900000004,4640707050.500719
2025-01-07,0.269660360758317,0.262644333922066,1923244256.34973,0.261234980414087,0.26154009734509015,0.26154009734509015,0.27583058519004167,0.24724960950013863,0.26154009734509015,0.27583058519004167,0.24724960950013863,0.69411226337132,0.003047015983910606,0.0015282648670244924,0.0015187511168861135,69.41120581118815,0.008308410724041378,3480717168.1251287
2025-01-08,0.262644333922066,0.268513416065801,2658316290.67757,0.259592229817594,0.26241176218517903,0.26241176218517903,0.2765311681116356,0.24829235625872248,0.26241176218517903,0.2765311681116356,0.24829235625872248,0.7535042372467293,0.0034975581128256494,0.001922123516184724,0.0015754345966409254,75.35040144241907,0.009501928289894003,5403961424.474859
2025-01-09,0.268513416065801,0.252839824490704,3035991185.78371,0.252603050315964,0.2613482135524596,0.2613482135524596,0.27601650608231076,0.24667992102260838,0.2613482135524596,0.27601650608231076,0.24667992102260838,0.49621028881625806,0.0025603737507106095,0.002049773563089901,0.0005106001876207084,49.621014207941066,0.009579144775004305,2745645133.7972894
2025-01-10,0.252839824490704,0.250701771776292,2902134217.00064,0.244802038511872,0.2610719955212671,0.2602835693748428,0.27566508297940606,0.24490205577027957,0.2602835693748428,0.27566508297940606,0.24490205577027957,0.47412579181007497,0.0016263775382091006,0.001965094358113741,-0.00033871681990464047,47.41256516039456,0.010023270739910823,-290346051.98642063
2025-01-11,0.250701771776292,0.240402142736167,2034395596.10858,0.237099573248867,0.25950957020641935,0.258476166953145,0.2773617916265528,0.23959054227973728,0.258476166953145,0.2773617916265528,0.23959054227973728,0.39041979226930645,5.4457077484748595e-05,0.0015829669019879426,-0.001528509824503194,39.04196768163004,0.009779022432333003,-3192480268.9870605
2025-01-12,0.240402142736167,0.244662235918531,1015163719.5219,0.237862747512246,0.258282345555363,0.2573250060335938,0.27701893385955273,0.2376310782076349,0.2573250060335938,0.27701893385955273,0.2376310782076349,0.43190396072233617,-0.0008378886373384686,0.0010987957941226603,-0.001936684431461129,43.19038330018374,0.009344376806267235,-1158084672.8784804
2025-01-13,0.244662235918531,0.240959974529043,1066734022.42171,0.240566744096956,0.25560882074485636,0.25606615745632066,0.27699303682916815,0.2351392780834732,0.25606615745632066,0.27699303682916815,0.2351392780834732,0.4077864608423794,-0.0018228083978304443,0.0005144749557320394,-0.002337283353562484,40.77863402537882,0.009350203474303648,-2173248392.4003806
2025-01-14,0.240959974529043,0.233680618806324,3596403871.414,0.23175578804303,0.25156274211147167,0.25446719040989235,0.2778642411306052,0.2310701396891795,0.25446719040989235,0.2778642411306052,0.2310701396891795,0.36744402681929006,-0.0031543857789703422,-0.0002192971912084369,-0.0029350885877619053,36.74439181605635,0.01012853111872793,-3239982414.8220906
2025-01-15,0.233680618806324,0.222969854686344,1954382416.78984,0.217048352222001,0.24637490810347465,0.25236736802832244,0.280168009285364,0.2245667267712809,0.25236736802832244,0.280168009285364,0.2245667267712809,0.0,-0.00501611692443199,-0.0011786611378531476,-0.003837455786578843,32.07534635668692,0.01013678908993043,-6836386286.236091
2025-01-16,0.222969854686344,0.2210609893847,2549753656.38697,0.220507973819424,0.24175453648821177,0.25041071936309606,0.28149725900048583,0.21932417972570628,0.25041071936309606,0.28149725900048583,0.21932417972570628,0.0,-0.00656984862172616,-0.0022568986346277503,-0.00431294998709841,30.333608587886033,0.011158301960890002,-8790768703.02593
2025-01-17,0.2210609893847,0.238129065551858,2792751676.19664,0.220636906420776,0.23837849754221813,0.24968826913890557,0.280371589879338,0.21900494839847312,0.24968826913890557,0.280371589879338,0.21900494839847312,0.15707173033870891,-0.0063507337772491235,-0.003075665663152025,-0.0032750681140970984,41.27622458859318,0.010927663823120359,-6241015046.63896
2025-01-18,0.238129065551858,0.23716711088317,2046232162.5322,0.233160715091992,0.2366370849191588,0.2489926492358092,0.2793394064957118,0.21864589197590656,0.2489926492358092,0.2793394064957118,0.21864589197590656,0.06592797001662869,-0.006183426692870447,-0.0036972178690957095,-0.002486208823774738,34.926570402481346,0.011067077841759504,-9033766722.8356
2025-01-19,0.23716711088317,0.248908351385263,4416858703.27248,0.237163308489664,0.23643781598682223,0.24898821250683303,0.2784799848281454,0.21949644018552067,0.24898821250683303,0.2784799848281454,0.21949644018552067,0.13360679703306133,-0.0050452560688413195,-0.003966825509044832,-0.0010784305597964878,39.30641056687596,0.012450294831674721,-6987534560.3034
2025-01-20,0.248908351385263,0.242082109811343,4882937978.55009,0.238637480595433,0.23662447899517514,0.24864290737205855,0.2775137646420797,0.21977205010203738,0.24864290737205855,0.2775137646420797,0.21977205010203738,0.14640263641233395,-0.0046405746391729175,-0.004101575335070449,-0.0005389993041024681,36.92418574476399,0.013249450767000721,-11404393263.57588
2025-01-21,0.242082109811343,0.228658775472711,6410597661.81268,0.226741995320687,0.23484631672341733,0.2474164594428429,0.27753159634446306,0.21730132254122275,0.2476912820435182,0.27715175902315786,0.2182308050638785,0.09942110132499021,-0.0053414397952019355,-0.004349548227096747,-0.0009918915681051887,34.80922771170208,0.01457014441396508,-16287331242.125969
2025-01-22,0.228658775472711,0.238276854241169,2978742917.88129,0.223966187866875,0.23454819224698686,0.24660710362641153,0.2767947302961578,0.21641947695666527,0.24726335350704778,0.2762927352332325,0.21823397178086304,0.34165271920796964,-0.00506242541688387,-0.004492123665054171,-0.0005703017518296988,36.923203164786564,0.013982486142679293,-9876733580.31329
2025-01-23,0.238276854241169,0.245094930352037,2885076795.15232,0.235329362987336,0.23581644908539945,0.24607648725511147,0.2759621768653595,0.2161907976448634,0.24716907423943862,0.2755454372888184,0.2187927111900588,0.9391091819881745,-0.004242240839079564,-0.00444214709985925,0.00019990626077968573,46.37261352484518,0.014217478185249934,-6897990662.431999
2025-01-24,0.245094930352037,0.253938828029889,3130473773.91066,0.245057748281552,0.23925744612357114,0.24552234376542575,0.2743201415809439,0.2167245459499076,0.24745114731404072,0.2753410516449396,0.2195612429831418,0.9999999999525906,-0.0028458053483890744,-0.004122878749565215,0.001277073401176141,51.426488870291486,0.013936784667603147,-4012913867.2796793
